ListSizes,TestResult
0,0
1000,1
2000,2
3000,3
4000,4
5000,7
6000,7
7000,8
8000,9
9000,12
10000,11
11000,16
12000,16
13000,16
14000,17
15000,18
16000,21
17000,23
18000,30
19000,28
20000,25
21000,26
22000,32
23000,30
24000,30
25000,32
26000,33
27000,34
28000,36
29000,35
30000,35
31000,36
32000,39
33000,39
34000,40
35000,44
36000,41
37000,45
38000,44
39000,46
40000,46
41000,47
42000,49
43000,49
44000,51
45000,53
46000,50
47000,56
48000,57
49000,57
50000,58
51000,54
52000,59
53000,55
54000,60
55000,64
56000,68
57000,63
58000,65
59000,68
60000,67
61000,68
62000,73
63000,76
64000,73
65000,78
66000,79
67000,80
68000,82
69000,81
70000,80
71000,86
72000,80
73000,82
74000,82
75000,88
76000,88
77000,93
78000,87
79000,94
80000,97
81000,92
82000,93
83000,96
84000,97
85000,96
86000,100
87000,107
88000,100
89000,105
90000,102
91000,107
92000,105
93000,113
94000,106
95000,112
96000,115
97000,124
98000,111
99000,121
100000,119
101000,118
102000,119
103000,121
104000,117
105000,117
106000,119
107000,123
108000,131
109000,121
110000,127
111000,131
112000,130
113000,134
114000,130
115000,143
116000,136
117000,135
118000,138
119000,141
120000,141
121000,136
122000,140
123000,146
124000,144
125000,146
126000,145
127000,150
128000,159
129000,157
130000,158
131000,155
132000,151
133000,147
134000,153
135000,159
136000,156
137000,154
138000,156
139000,169
140000,160
141000,159
142000,163
143000,168
144000,170
145000,170
146000,169
147000,170
148000,167
149000,174
150000,172
151000,172
152000,176
153000,171
154000,177
155000,181
156000,180
157000,180
158000,186
159000,194
160000,185
161000,185
162000,190
163000,190
164000,195
165000,191
166000,191
167000,186
168000,199
169000,187
170000,202
171000,206
172000,191
173000,200
174000,203
175000,194
176000,203
177000,199
178000,211
179000,204
180000,204
181000,212
182000,207
183000,207
184000,209
185000,224
186000,215
187000,214
188000,217
189000,217
190000,218
191000,225
192000,229
193000,225
194000,227
195000,234
196000,240
197000,235
198000,239
199000,247
