K,TestResult
0,0
1000,272
2000,280
3000,283
4000,282
5000,294
6000,307
7000,306
8000,321
9000,328
10000,311
11000,333
12000,311
13000,343
14000,333
15000,326
16000,311
17000,346
18000,323
19000,344
20000,329
21000,328
22000,330
23000,338
24000,320
25000,339
26000,326
27000,334
28000,342
29000,331
30000,358
31000,348
32000,344
33000,361
34000,351
35000,337
36000,349
37000,353
38000,352
39000,348
40000,350
41000,344
42000,348
43000,365
44000,352
45000,349
46000,362
47000,351
48000,356
49000,376
50000,362
51000,361
52000,375
53000,360
54000,369
55000,378
56000,361
57000,366
58000,378
59000,361
60000,357
61000,386
62000,376
63000,379
64000,385
65000,380
66000,385
67000,379
68000,372
69000,388
70000,390
71000,404
72000,380
73000,398
74000,397
75000,398
76000,382
77000,402
78000,378
79000,384
80000,400
81000,392
82000,413
83000,387
84000,396
85000,425
86000,418
87000,398
88000,401
89000,398
90000,426
91000,405
92000,430
93000,437
94000,428
95000,432
96000,417
97000,418
98000,460
99000,421
100000,409
101000,433
102000,411
103000,412
104000,409
105000,406
106000,399
107000,412
108000,404
109000,436
110000,405
111000,398
112000,404
113000,407
114000,405
115000,417
116000,407
117000,404
118000,402
119000,405
120000,410
121000,406
122000,403
123000,400
124000,407
125000,396
126000,415
127000,401
128000,444
129000,403
130000,407
131000,401
132000,407
133000,398
134000,408
135000,417
136000,417
137000,389
138000,433
139000,407
140000,412
141000,433
142000,401
143000,430
144000,413
145000,427
146000,415
147000,421
148000,414
149000,411
150000,433
151000,398
152000,415
153000,410
154000,416
155000,425
156000,425
157000,428
158000,423
159000,426
160000,420
161000,446
162000,437
163000,409
164000,436
165000,436
166000,430
167000,437
168000,452
169000,441
170000,455
171000,443
172000,442
173000,429
174000,458
175000,426
176000,444
177000,436
178000,436
179000,444
180000,423
181000,424
182000,440
183000,421
184000,424
185000,453
186000,437
187000,431
188000,432
189000,451
190000,481
191000,426
192000,472
193000,447
194000,444
195000,455
196000,437
197000,429
198000,435
199000,446
