DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,1,1,1
2000,1,2,3
3000,2,2,3
4000,4,3,4
5000,5,3,5
6000,5,3,6
7000,7,4,6
8000,18,8,12
9000,19,11,12
10000,20,10,13
11000,20,11,13
12000,26,13,13
13000,27,12,15
14000,29,12,15
15000,44,14,16
16000,38,15,17
17000,45,18,17
18000,51,18,18
19000,56,20,19
20000,65,21,19
21000,69,24,20
22000,75,25,21
23000,89,26,23
24000,107,25,23
25000,93,31,24
26000,121,31,24
27000,118,32,24
28000,124,34,27
29000,134,38,28
30000,152,38,28
31000,302,73,51
32000,302,71,53
33000,299,73,53
34000,305,74,53
35000,310,86,54
36000,339,81,54
37000,358,82,54
38000,371,90,55
39000,418,98,55
40000,420,98,57
41000,455,101,58
42000,448,110,60
43000,495,107,61
44000,549,113,60
45000,538,127,61
46000,576,126,63
47000,661,140,63
48000,640,132,67
49000,660,139,63
50000,768,143,65
51000,762,154,66
52000,784,158,66
53000,809,166,69
54000,882,181,71
55000,892,178,71
56000,887,194,73
57000,924,202,71
58000,1004,213,73
59000,1062,216,72
60000,1055,234,78
61000,1176,222,75
62000,1235,236,77
63000,1157,235,78
64000,1222,242,80
65000,1317,257,79
66000,1394,263,81
67000,1449,324,80
68000,1496,301,79
69000,1464,300,85
70000,1517,305,82
71000,1612,321,87
72000,1749,340,87
73000,1955,330,83
74000,1747,341,86
75000,1971,342,90
76000,2039,374,90
77000,2193,385,91
78000,2281,390,95
79000,2257,391,90
